FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
16808,2527,0,12,187,162,28353,5220,104,43,56,84,43,157
7180491,1074068,10674,8233,3493,426,499096,70914,552,385,377,254,1001,162
51304,3685,0,74,141,219,133165,5164,0,73,74,295,55,166
10147,7297,140,0,481,26,23008,11297,107,0,144,103,38,166
9005,17902,205,161,57,431,18024,26869,237,88,38,276,45,173
18518,9439,745,0,528,49,19341,7041,271,74,532,172,73,177
468048,45108,3094,0,0,303,43279,4797,428,315,332,404,1001,177
6430,3172,109,187,277,185,17292,6323,61,115,70,279,28,179
132874,15380,0,943,1274,325,48971,4718,494,190,476,368,284,182
85087,8103,538,367,870,0,41593,4000,474,228,602,298,166,182
223330,22749,598,498,1424,0,56051,5204,294,148,512,283,381,182
405930,34572,813,736,1977,450,51750,5225,410,247,634,379,661,182
150201,10385,371,0,616,0,44559,4450,395,113,562,302,245,182
299522,26518,1967,77,2518,0,47995,4625,441,177,597,359,461,182
648485,47994,4848,0,1052,0,59847,5975,555,252,663,435,1001,182
609853,41080,2106,0,0,195,51900,4709,478,167,577,406,1001,182
44537,2673,0,0,504,314,51200,2787,119,0,200,271,70,182
107234,5813,187,0,91,435,52856,4821,339,0,332,463,173,182
55980,2856,102,0,100,510,45949,4368,455,73,259,484,96,182
162986,8880,996,0,402,274,55863,3279,377,88,465,346,278,182
245708,9066,0,0,156,334,47560,3195,336,168,299,277,513,182
5422,1935,0,199,511,77,18686,5714,0,149,331,19,20,186
27624,2080,804,196,361,0,65451,2557,789,197,465,190,63,186
27146,1897,322,0,462,7,52637,3514,410,4,364,139,54,189
23499,5135,381,55,414,177,35113,8740,275,194,130,208,50,189
26882,10944,728,176,594,216,45315,19939,923,160,372,181,48,191
7717,1154,158,196,307,65,44286,4062,85,108,77,0,14,193
83559,3860,1128,223,588,132,177077,5422,1076,155,259,452,88,193
14999,1825,7,238,295,277,42282,4467,27,188,153,489,32,194
10486,2583,190,253,405,0,25043,5985,162,209,188,0,34,195
20515,5061,298,361,175,53,25968,5411,321,265,231,261,59,196
54924,9354,248,157,331,0,31641,5685,279,199,360,212,126,200
9064,2394,360,0,340,0,19538,5950,274,38,229,18,36,208
6532,1852,128,95,330,211,27099,5593,124,2,165,188,19,211
13040,2145,48,46,295,338,32512,5177,146,0,288,302,34,211
23355,3863,381,374,510,174,30788,5517,496,170,385,307,50,218
14969,2250,0,33,145,122,32171,5352,0,27,17,135,40,218
44465,58643,895,597,411,43,64942,44551,636,278,264,142,75,219
3657,4041,209,134,298,88,21495,19950,183,11,67,0,12,219
616790,442849,5495,2735,2210,986,390984,180904,1478,478,583,346,172,219
14228,3868,28,182,420,0,37080,7347,179,111,269,29,42,220
16943,3143,697,140,204,228,36199,5270,407,215,192,186,43,220
54027,16730,172,151,508,400,51889,7366,294,155,321,237,134,221
21065,6769,0,0,109,214,27000,5952,202,49,194,145,72,230
15198,1866,0,190,373,25,49515,4753,72,243,136,35,35,230
8950,1671,87,42,816,89,30313,5413,132,0,685,29,21,230
6369,1680,493,114,514,332,18919,5526,448,25,368,356,25,231
59786,14063,1548,385,219,232,86511,21529,822,179,358,121,45,235
19121,1813,0,0,0,88,38093,4758,92,0,79,166,71,235
54410,10349,570,279,583,513,78821,16421,343,216,292,274,83,237
9737,1584,589,89,303,228,26440,5316,644,61,111,202,30,238
6865,877,0,223,274,0,41313,3941,0,173,43,0,13,239
12372,3143,85,276,348,174,25951,6182,142,116,205,167,42,239
94695,17227,2407,622,1997,268,258537,28482,2594,618,1924,363,41,240
4258,1653,85,158,57,434,19512,5482,103,25,68,479,17,240
4450,4370,366,359,88,34,17575,8413,508,232,0,151,29,240
6251,1340,104,0,255,20,31636,5272,8,0,12,195,16,240
23936,1036,1092,290,738,232,58213,2689,900,190,470,256,31,242
10178,1515,181,114,381,222,42751,3728,222,0,240,145,21,242
7334,3465,267,170,349,47,24849,7519,323,65,174,1,22,243
20967,3626,20,323,169,97,39679,5613,255,233,155,168,40,245
6214,1757,261,48,406,50,26886,5360,188,0,316,62,20,245
19961,3441,501,519,495,108,41640,5739,580,237,365,246,56,246
17549,3064,0,362,283,307,29132,6334,306,239,206,231,55,246
71246,33269,1582,776,1815,803,149387,50963,1531,630,1030,755,66,247
8240,2540,178,146,477,198,30417,6902,158,78,589,257,25,247
10920,3000,446,191,243,137,25426,5589,454,194,452,143,37,251
12519,1882,258,0,627,305,45993,4039,323,0,370,242,27,251
8930,3228,326,223,358,313,20257,6134,547,135,205,239,41,252
16372,2941,0,158,555,59,19369,5674,65,65,599,202,66,254
21945,1876,573,154,250,28,58910,4370,559,153,136,8,34,254
40778,9654,0,191,256,289,44480,7315,64,194,298,222,99,255
9095,2522,81,46,0,52,36181,5728,150,92,0,231,30,255
13610,5337,470,314,721,0,35467,11767,561,181,666,39,27,255
