FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
21121,3970,529,311,469,328,20966,6428,390,196,175,299,73,156
41354,2942,286,39,531,0,125002,7331,258,136,263,36,35,156
3885,2333,65,175,253,100,14718,6028,90,75,30,0,18,158
7715099,1134878,15105,2486,2660,1153,544447,74528,717,305,444,466,1001,161
16031,7200,309,294,774,671,41683,13918,386,164,361,742,42,163
37507,2301,314,74,126,392,99420,3939,281,36,77,383,46,164
7862,3515,368,282,354,292,25588,8351,239,168,144,180,28,165
25121,362,343,182,153,235,71203,1916,277,65,131,163,42,166
14135,5130,356,258,174,362,27202,8310,291,73,124,397,53,169
17928,6310,0,0,28,125,29159,9681,259,18,76,193,69,173
524731,36370,2408,5430,870,337,46794,5041,515,324,543,346,1001,176
322456,20117,2214,1901,855,0,43147,4175,481,275,406,417,605,176
500574,22965,4238,5587,0,538,43656,3529,647,369,374,472,1001,176
18548,9123,254,311,585,102,36675,14145,367,114,560,240,39,176
22336,2142,2538,291,279,395,66648,5609,3479,272,303,585,22,178
211532,38541,4039,1850,3298,558,325621,56692,3166,1054,2350,759,101,186
8612,1504,0,128,247,110,30320,5134,145,5,0,100,20,186
16634,8222,0,512,331,0,33174,18217,185,202,336,459,60,195
17079,3327,116,0,771,0,36249,6010,371,38,400,117,49,195
76699,4025,0,226,444,89,199929,6850,48,150,436,369,50,196
13932,1395,187,198,627,370,46014,3740,190,125,646,370,46,204
8245,2468,85,58,375,204,43819,10031,28,0,154,134,14,208
20133,2545,371,220,0,0,31013,5113,554,179,118,355,60,208
14983,1018,25,383,388,67,45792,3123,70,264,227,175,29,209
18547,3839,45,39,1046,0,33999,5466,323,64,586,223,77,211
6503,2784,116,143,540,404,23244,6917,51,62,339,348,26,212
8990,1376,254,173,480,129,41326,4621,284,168,301,203,22,216
23408,9548,619,0,1122,0,31378,6886,484,76,636,276,83,218
10038,2015,0,169,462,143,29590,5506,0,186,404,11,23,219
45270,2784,187,129,301,119,101285,5163,208,48,202,254,45,223
16716,2399,0,58,273,217,27604,5263,229,79,239,214,66,225
21664,2508,440,338,466,144,51379,4941,521,142,307,303,42,225
7351,3537,0,181,240,131,20266,5857,68,172,225,149,37,226
141713,4628,11182,525,148,0,296367,6590,12230,690,144,94,59,238
2816,2737,202,184,316,0,8844,6859,323,128,352,60,20,238
12295,2387,334,204,138,146,20662,5509,511,89,58,209,38,238
19635,1196,3079,397,256,249,77339,2744,4038,337,127,139,22,239
26005,3310,6100,678,558,322,64063,6782,6651,362,399,349,51,240
17004,931,4627,396,522,68,59626,3537,5786,320,422,213,21,240
7869,3391,9716,725,285,367,30375,7946,11381,744,67,257,24,246
2691,2774,125,166,202,170,17356,10438,239,86,0,162,12,246
23182,1485,6518,509,660,1,55584,3716,6666,371,486,99,30,248
47551,25499,378,234,636,397,106370,46775,224,108,234,398,43,249
15982,2445,51,25,406,13,40098,4295,270,60,170,16,42,256
11712,2986,671,36,244,70,24829,6402,496,34,31,152,29,265
29175,7877,969,0,900,350,52840,9153,533,82,498,396,67,270
32534,15882,9381,831,240,265,74630,24509,8852,459,294,339,43,276
106527,6405,0,71,39,291,206366,9449,112,87,163,281,72,277
7492,2214,196,39,264,250,21945,5606,86,0,332,379,25,282
22540,2914,156,0,630,50,44727,5329,299,49,497,222,34,282
16143,2412,0,202,283,232,29008,5496,513,109,175,287,47,285
40505,3611,10220,716,430,91,85343,5201,10400,541,163,206,45,288
7922,11207,0,249,397,141,32572,23366,67,154,272,331,27,289
403623,23289,507,238,193,458,752764,36044,438,100,299,509,72,292
374109,17957,193,0,0,47,682492,29153,469,135,188,354,73,294
40093,10015,5999,358,394,419,107869,16194,5387,281,486,381,42,302
54040,3183,11433,832,0,125,109226,4198,12819,546,136,339,78,305
25733,4506,0,55,652,201,44282,6662,192,111,338,427,56,307
4441,4326,205,9,568,0,13407,7104,205,4,454,0,35,311
13046,2841,819,0,325,225,22962,6002,898,2,306,330,45,316
16258,1295,356,152,295,146,43689,3712,414,94,133,146,30,316
11720,1961,569,335,366,250,16714,5605,368,142,214,312,49,317
15091,1552,341,78,198,43,44342,3809,207,7,232,262,38,322
23457,6209,550,296,237,107,81806,13624,632,147,57,36,23,326
