FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
41417,5980,1017,439,862,429,83845,7782,813,177,344,198,79,171
29801,206,610,49,361,535,81758,817,305,139,264,365,59,171
18303,3051,458,525,418,331,43142,5621,370,258,302,471,54,172
73486,9831,786,0,1009,0,49654,5724,447,78,505,205,111,173
164218,29558,298,0,0,429,63224,9332,220,83,322,353,241,174
722528,126076,206,841,1977,165,279953,42527,276,209,507,296,271,175
30397,9414,0,0,225,222,28800,6271,142,30,225,252,95,177
10183,2970,215,7,219,67,29067,5268,205,0,19,203,34,179
70554,58238,711,80,115,117,70235,40446,316,68,326,331,83,180
5205,1789,178,154,207,143,25959,5667,113,47,4,40,16,184
5502,1647,189,102,183,220,30089,5240,108,12,9,162,15,185
37854,25411,223,246,177,8,36932,23250,248,145,119,301,74,186
38602,29520,449,75,385,170,30827,24390,199,142,374,162,91,186
16222,1616,63,137,261,170,44132,3648,70,106,77,160,43,188
11230,2630,0,210,547,0,17707,6105,24,188,265,84,45,188
4675,2198,0,1,171,216,16320,5856,0,0,0,142,17,189
336419,48080,879,1562,1404,0,145063,17814,312,338,523,207,233,190
220911,28529,675,306,0,41,134081,13115,280,163,272,168,196,191
157085,28912,317,857,0,128,71168,11761,176,215,113,194,211,191
14275,3565,269,250,253,298,26647,5622,255,151,139,307,32,193
5107,3675,131,232,354,268,21822,8949,49,135,156,297,21,193
13080,3654,150,166,289,104,31530,5583,122,76,140,244,35,193
101514,12607,0,0,403,83,74929,6924,285,123,378,182,161,193
89197,19939,0,429,0,313,61835,12545,194,143,178,322,116,194
177467,35236,0,241,789,0,86354,14891,446,196,561,307,174,196
12050,2931,0,231,208,185,21726,5549,298,138,268,264,43,196
76237,29210,29,191,558,305,115517,39879,396,192,595,306,81,196
25425,1536,759,42,478,0,55435,3286,419,0,367,113,51,196
3803,1578,215,188,243,180,22614,5561,152,87,0,127,13,197
10689,2288,48,154,390,137,29638,5257,142,87,140,26,28,197
10809,644,471,226,367,68,50854,3486,457,184,161,2,22,200
22905,3364,875,335,1446,0,35491,5511,785,154,880,414,72,201
94830,1247,409,0,831,252,221940,2632,640,65,532,316,54,201
22940,7709,629,335,363,0,25592,12894,473,182,318,4,57,202
95534,22858,377,0,282,105,62757,13804,407,152,305,341,124,202
36374,1403,510,202,798,0,92894,3408,411,131,482,138,42,202
11454,973,547,21,549,55,44321,3909,657,0,464,24,27,202
35774,14918,548,154,421,146,80679,28510,691,157,385,94,32,202
40827,23301,251,0,483,147,42612,21811,352,201,530,188,60,202
24621,3157,966,68,369,0,33110,5119,664,141,361,210,67,203
15565,6076,198,412,292,350,32480,11746,345,257,360,273,50,203
4828,2222,0,57,268,64,18577,6774,0,0,29,0,18,203
40807,1145,854,507,397,197,75988,2016,814,325,554,389,55,203
25866,10121,406,349,526,0,65246,17684,337,159,387,198,36,203
3501,5512,382,370,627,73,17171,18898,759,413,633,0,14,204
7283,2541,36,231,216,64,25841,6365,0,225,77,162,24,204
31653,3157,254,474,328,485,68751,4265,325,184,213,454,72,204
185339,5462,643,347,436,85,348486,9215,647,211,253,267,64,207
20275,1488,378,225,327,461,47770,3901,420,163,239,196,48,207
108762,3749,196,226,486,237,227457,6141,378,166,421,183,57,208
41608,336,686,74,417,297,91458,2464,421,68,237,408,59,209
24296,2213,901,101,613,0,46544,4503,620,31,524,47,39,209
30868,1377,381,442,552,0,68290,2519,200,265,425,410,35,209
54976,1557,461,287,97,220,123711,2433,587,205,120,123,43,211
21120,5885,229,399,388,204,65989,12112,241,340,279,288,28,211
49911,18363,1299,256,580,622,71301,28593,807,174,306,390,72,212
40928,949,25,122,276,107,115118,2709,212,4,357,347,32,212
6069,2420,68,51,132,171,19832,5568,174,0,88,146,20,212
140278,21742,0,0,121,504,82582,9781,206,127,355,466,142,212
177650,31560,1756,352,0,1116,85205,11005,539,229,219,384,185,214
2432,23823,450,30,273,195,6320,47598,648,0,132,237,24,218
395690,57600,1165,0,0,319,142493,15539,571,126,515,464,279,218
23572,2387,606,346,223,0,59386,5341,386,275,261,30,41,219
23718,1961,152,341,330,55,55872,3210,224,233,141,77,51,219
9793,1661,66,145,243,362,28608,5186,129,120,103,236,26,220
316241,45421,421,417,1491,0,115474,15034,702,177,605,472,257,223
56628,2354,136,95,697,47,121468,4794,203,184,618,271,49,223
18321,3053,304,102,216,0,40578,4287,325,123,115,0,41,224
37341,2651,1052,43,757,250,68193,3757,797,50,529,185,51,224
5058,3691,294,149,81,29,22271,10642,416,30,0,155,19,227
19622,3221,360,220,357,208,49998,6544,350,90,107,190,28,229
3885,2235,440,157,474,140,19121,6207,469,68,387,266,16,229
59178,12223,0,199,586,568,47160,6066,251,123,473,642,121,229
5415,1265,41,210,316,122,17963,5602,81,125,65,170,20,230
32429,1549,273,193,411,222,80005,3058,507,70,230,115,28,232
25489,1661,0,0,567,123,66512,3130,38,0,585,227,30,233
88689,21245,481,659,0,467,57434,9273,592,247,357,323,160,233
10573,524,165,172,345,92,56276,3086,368,262,130,55,15,235
2269,1910,415,137,327,182,9837,7050,591,88,182,59,14,235
8747,1302,45,129,483,283,33111,5309,123,91,402,360,20,235
47532,4715,455,616,784,252,102378,8872,869,253,358,299,58,236
4511,1356,275,349,439,68,15240,5667,281,287,418,0,20,236
123668,26559,0,84,825,603,62667,10358,431,137,516,317,146,237
36304,1918,895,411,355,80,89818,4743,857,291,222,263,34,237
9550,987,227,129,562,155,51123,3226,294,9,665,247,14,237
46532,8610,581,126,264,529,37773,6960,539,186,341,611,94,238
153644,32663,0,0,462,0,74608,12268,461,43,457,228,153,238
11700,4565,184,326,172,229,34035,9637,234,244,246,281,37,238
6564,2059,292,90,286,252,24779,6290,318,0,192,185,17,239
44960,33778,993,346,438,322,76031,46192,506,169,331,275,82,240
4606,2099,29,93,397,176,18014,6970,138,16,178,78,18,240
26392,3263,187,273,189,429,58309,4989,242,162,139,232,41,241
87695,24831,894,0,367,0,52622,9418,469,126,295,291,176,241
37615,5069,421,291,558,0,104674,10414,532,224,460,129,32,241
57559,12350,260,714,84,168,45537,7576,344,319,312,260,106,242
8800,1451,103,110,327,73,40634,4588,260,91,219,0,18,244
9330,1424,221,74,190,231,42069,3893,177,8,0,183,19,245
5008,5617,588,151,400,135,19413,16119,816,39,299,251,18,246
60626,805,641,276,468,102,154385,1783,423,155,498,168,64,246
21084,2535,246,256,370,170,52187,5155,270,143,172,128,29,247
86022,17856,524,201,154,188,46851,9612,617,125,323,357,144,248
12879,3053,288,0,654,26,20348,5484,552,0,307,187,58,250
78638,2766,338,0,67,249,150144,4540,349,0,62,326,48,251
258624,39835,1249,0,238,319,119677,13728,517,209,391,272,188,252
65226,4508,470,0,184,203,105484,6943,377,57,268,285,78,253
24378,1398,285,154,345,0,71028,4004,363,74,142,22,26,254
18201,2683,235,343,193,332,30587,5376,464,241,361,229,52,254
8972,6843,0,154,652,17,15682,11553,470,60,494,88,41,254
33588,8617,1268,577,1343,29,59786,15747,741,272,618,166,62,255
73891,1461,133,217,222,120,150265,2980,276,150,222,232,52,255
58076,1878,734,110,382,0,118898,5541,492,155,297,85,47,255
43379,3693,822,238,195,50,74475,6179,741,232,30,151,40,256
61795,2508,675,25,429,326,130778,3872,543,0,319,407,50,256
18213,2804,243,122,103,83,60095,6939,206,126,9,432,31,256
164602,31350,183,569,364,0,71711,11391,435,240,390,324,184,257
921,2272,0,148,384,98,3517,8062,0,118,390,300,16,260
10350,5353,238,68,274,0,19442,7988,215,41,485,165,35,261
87132,3938,456,235,613,0,179937,7576,578,107,445,102,71,263
142763,23241,728,262,658,0,86543,10826,358,149,421,184,131,263
36177,893,728,269,108,422,105804,3070,716,121,168,279,33,263
33202,5492,76,344,345,386,51942,6806,266,214,322,273,66,265
220302,60136,34,0,486,0,112412,24294,608,106,336,296,171,266
12652,7455,0,216,256,374,15423,7773,132,200,216,318,47,266
34684,894,298,249,463,73,77187,1781,261,137,221,124,68,270
395891,65088,0,2040,0,576,145060,20563,457,353,163,458,265,273
3606,3205,371,284,367,23,12934,8038,279,216,155,55,19,276
14626,1961,510,71,160,156,35434,5016,368,12,66,90,28,278
70280,5404,879,329,792,0,132281,10814,626,137,554,114,44,279
21464,1736,32,229,480,280,59163,3675,221,136,200,263,36,279
29998,2365,425,158,424,0,89632,4738,384,128,346,142,26,279
701805,232846,16077,5157,8377,2886,679156,178991,7174,2426,3861,1535,110,280
44398,3074,535,495,235,100,94159,5403,344,313,122,371,36,280
43654,1775,140,663,0,0,91733,3052,622,309,49,186,62,280
34771,1098,910,89,454,201,84540,2266,805,82,254,206,44,280
76855,3526,863,288,691,126,167387,5563,944,148,490,115,42,282
14230,4360,125,69,169,86,22129,6040,303,92,144,230,56,285
38576,724,334,730,495,186,67437,1615,490,314,487,147,66,285
11199,16289,226,172,169,91,24091,17642,412,157,160,292,44,289
33319,1736,588,464,430,119,84527,3829,588,228,262,110,39,291
49472,1720,32,172,247,725,92378,2356,273,73,224,345,75,291
120532,21865,167,634,1029,0,50737,8138,597,295,427,332,177,292
73556,3329,269,417,580,0,163800,7100,701,179,358,303,83,292
38439,2686,637,126,322,320,77406,4030,757,89,328,277,38,293
50480,1841,298,83,685,422,94922,2458,615,98,494,437,53,293
121784,25275,956,943,0,223,53162,10587,518,260,412,522,175,294
22981,1793,261,77,612,395,65563,3152,257,24,385,430,58,294
54676,3023,465,275,54,455,97569,5967,412,127,172,228,63,295
49534,5374,331,179,807,0,88669,9404,493,93,414,158,71,297
28237,1491,212,161,220,0,63493,2612,664,102,181,14,39,297
71226,5587,0,194,753,438,150922,10255,69,87,440,269,45,299
117586,2065,0,122,1003,0,215033,2857,893,135,503,385,88,299
4874,1974,248,119,337,276,24483,6911,158,46,135,285,18,299
51333,2052,0,33,505,283,117393,4806,0,62,537,251,35,300
35758,3606,631,12,19,523,70341,3538,606,75,294,378,62,300
103684,54207,854,355,510,77,69023,21936,548,254,440,390,136,303
90516,2575,208,92,979,0,169870,4455,718,128,386,109,89,305
4088,3151,527,160,522,176,10349,6826,505,37,374,182,26,305
18863,5164,218,350,756,186,42458,8406,386,245,490,103,34,306
34312,5877,983,105,1,335,51161,5640,937,190,367,318,62,307
25907,2636,0,125,217,125,43515,3879,193,159,494,407,51,307
113963,4020,1534,409,1160,0,213522,5898,975,163,488,205,81,307
51569,3714,402,409,531,162,101692,4978,542,183,428,155,52,309
501613,67864,0,0,78,262,142120,16038,695,234,848,635,392,309
72652,2578,977,75,841,188,122129,3289,827,162,521,364,65,310
33103,2104,0,356,321,0,74766,4712,257,137,310,82,53,311
78356,2394,445,123,768,446,147846,3801,640,135,457,301,68,312
82819,12185,869,0,766,0,42827,5847,979,76,506,219,149,312
52310,2862,595,312,408,368,79442,4111,666,177,517,380,83,315
39048,3047,544,391,159,0,73043,4469,540,188,306,210,57,316
34489,6628,603,102,412,0,65006,8797,832,117,304,142,61,317
37266,3887,223,55,159,159,65230,4655,449,27,591,517,64,318
38323,7423,949,373,0,464,67822,10866,627,160,399,534,67,319
58152,2559,554,95,736,292,97698,3240,894,64,372,362,69,319
