FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
6388755,912723,12625,5267,4917,1588,500577,68288,608,359,558,408,1001,159
45019,1491,125,0,355,174,108709,2751,144,0,143,124,55,162
9952,5704,625,184,81,389,25923,11018,501,174,0,197,38,162
17041,891,264,72,222,46,51601,2462,341,52,307,122,37,163
14445,5969,1268,126,442,159,21715,7941,600,152,244,414,101,163
38370,27441,400,133,252,168,90559,50234,220,118,185,223,49,163
38962,1440,162,117,511,91,96069,3964,124,115,316,109,46,164
146443,7734,357,350,370,337,341691,13839,311,134,228,243,58,165
26058,2955,362,142,348,210,61053,5052,277,43,183,214,38,180
31651,11668,5643,261,192,0,76297,20580,6696,182,278,47,42,183
61153,1103,5803,256,457,32,135344,3606,6910,285,333,116,50,200
33117,1212,2763,179,147,74,99671,2013,3017,244,281,185,47,206
104049,8118,1197,190,552,114,240390,14680,532,215,375,121,76,206
13977,4230,486,169,411,189,34185,7444,422,109,210,230,32,207
54430,9972,0,321,39,0,106514,17742,244,227,262,72,76,208
13167,1188,310,25,309,135,45727,3315,216,0,195,204,24,209
52401,17381,6190,510,27,211,102638,31684,5984,283,283,233,45,212
54661,15144,5423,250,75,0,147825,25669,6089,172,136,69,45,212
22799,572,3798,344,76,108,59993,2323,4212,227,82,62,27,213
29246,763,4108,169,504,0,78478,2839,4899,127,241,0,28,216
18532,5590,2596,241,351,23,45631,8914,2880,194,187,231,40,217
9163,1093,233,199,687,25,28550,5437,385,101,664,2,32,217
19193,914,2408,320,424,108,60859,2451,2835,247,417,245,25,224
21562,2848,7130,442,610,256,48214,4622,6065,214,373,382,40,226
15565,2840,34,18,663,0,33692,5303,321,52,398,61,45,229
20920,3656,0,120,204,208,14883,6816,243,172,236,206,96,233
65944,8527,742,332,648,0,156497,13429,518,236,330,53,59,234
55931,1653,8751,492,183,231,142015,6031,9535,485,118,228,34,235
74644,3082,70,152,0,511,183241,4985,250,211,237,304,70,235
24374,2620,3223,491,439,125,57930,5388,3322,267,166,116,35,238
5811,2397,282,244,343,143,20455,5479,266,106,299,79,29,242
39940,10385,619,158,199,137,26454,5970,612,139,286,228,118,242
43403,1274,6391,445,0,304,82684,2379,5985,392,224,222,65,247
4468,9794,193,92,331,122,16163,20491,158,75,137,134,21,248
4913,5425,276,90,316,207,30522,19983,254,0,89,148,12,248
2498,6184,115,152,339,214,12191,18779,110,51,220,169,15,248
5146,15954,178,167,450,0,12367,19315,211,138,175,76,39,248
5080,15149,306,60,676,398,14302,19208,285,20,578,404,36,248
2842,9576,235,166,345,13,8017,20636,270,22,151,256,21,248
733,5032,252,143,321,238,3271,18307,256,26,58,201,12,248
1716,6302,62,137,400,128,6663,18768,49,26,512,96,15,248
3903,16722,7,40,615,194,8976,19010,307,166,324,144,41,248
8082,20524,529,241,477,182,11906,19081,625,94,178,408,49,248
2360,8677,288,229,315,101,7056,18548,509,101,108,171,21,248
3373,5739,190,128,196,301,18290,18633,79,51,40,301,14,248
5612,11640,0,42,136,322,13082,17749,146,0,209,421,30,248
4935,15073,190,36,165,210,14720,18234,213,0,168,255,38,248
1865,5194,277,113,327,128,9198,16031,257,37,70,28,14,248
6146,12204,424,98,216,91,21359,18242,277,70,18,149,29,248
1993,5702,158,152,271,117,10746,17818,176,54,79,44,14,248
1509,5977,347,102,504,22,6799,18324,326,17,346,0,15,248
2712,4820,119,136,286,176,17333,17405,0,0,54,210,12,248
15035,2501,0,158,153,180,37855,4949,45,215,220,93,38,260
46273,0,6231,615,349,55,119516,1059,6059,330,132,136,53,261
45077,7904,6403,705,276,359,105964,13894,6697,482,87,279,38,262
252668,21328,1372,876,1236,320,469970,32255,1274,627,1179,380,55,263
10805,2851,48,169,228,308,26207,6136,368,75,198,210,34,265
38739,2139,5037,578,154,52,89894,4011,4886,447,422,166,49,266
21026,1449,3687,379,37,76,62167,5433,4472,334,0,0,23,267
24177,6881,22,249,279,406,30372,8976,423,88,230,412,72,267
8702,2540,57,284,391,62,23669,6070,144,145,218,77,31,272
20015,2046,14,163,436,50,52240,3994,201,75,266,0,30,273
19469,1356,0,225,148,135,47271,3237,12,140,136,305,31,274
7111,4423,0,139,343,235,20773,9838,32,27,321,232,25,274
9773,3013,357,0,436,229,31634,10807,1618,0,357,352,36,277
28530,5776,45,131,144,0,67315,11895,497,87,105,129,48,279
205209,3598,12823,912,858,282,373408,4492,12733,572,357,303,74,279
9562,2304,45,71,273,50,35155,6028,42,4,281,147,25,280
8659,8334,0,182,583,0,25700,12179,163,106,462,244,32,281
12198,9904,121,173,199,211,25491,13930,80,136,133,123,34,281
2927,2963,119,202,337,20,16199,10999,16,114,93,0,13,281
4320,5855,168,196,222,223,15504,13989,256,203,34,339,20,281
5615,6884,0,161,181,416,12669,12470,8,78,0,463,26,281
3894,3374,97,207,448,158,23600,11577,128,108,296,55,13,281
3570,4601,453,219,364,108,12458,11784,634,137,394,21,18,281
5391,4347,0,167,274,43,24734,11850,20,98,60,0,18,281
3121,4549,79,102,364,147,11274,11857,18,25,208,81,17,281
2066,3621,103,205,361,241,10689,11424,0,131,242,255,15,281
1863,3690,0,213,235,0,7201,10049,49,114,0,0,16,281
9120,6472,0,145,724,97,30044,10906,0,78,389,100,27,281
3733,3209,149,122,334,65,23048,11613,211,0,173,0,12,281
3454,5982,138,123,300,95,10177,10497,95,73,201,156,26,281
2627,3600,149,92,217,234,12458,10345,28,0,54,258,16,281
4344,2545,301,107,534,267,26528,9546,398,0,538,308,12,281
9269,9957,230,116,193,56,14062,12554,237,35,159,88,42,281
1324,4051,0,161,514,201,4428,9600,141,49,344,165,19,281
2728,3943,69,232,214,344,9237,9950,225,112,127,343,18,281
7747,2368,310,68,258,671,17590,5556,310,0,127,724,30,282
64652,1016,8408,796,967,132,137817,1622,7662,486,715,256,46,285
34716,752,5837,488,0,138,62563,2944,5357,460,10,148,43,286
105600,50776,579,436,663,406,195092,78108,375,217,354,234,64,286
6051,3159,477,179,49,253,15586,6223,754,95,12,168,34,286
24344,1640,3385,467,88,0,55515,2842,3141,355,66,92,38,287
