FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
41240,0,10299,362,495,141,89489,976,15320,621,510,145,54,155
12984,646,1120,122,273,137,52392,4926,2541,109,128,86,25,155
50429,5056,13148,344,493,131,98858,7967,12557,427,270,68,55,155
28129,1704,4315,539,309,243,57912,3663,6491,561,284,121,31,155
6259,6017,2507,238,286,317,32082,19997,4715,206,208,300,15,155
25119,4933,6087,500,252,120,73169,8675,6147,391,215,155,42,155
22740,821,5939,371,322,179,65629,2997,8948,407,50,333,26,155
16248,1703,5152,451,517,0,57013,5382,8362,479,443,0,23,155
20321,5797,8798,565,481,117,62345,11452,11068,566,273,101,30,155
15235,2758,11814,949,100,108,48840,7746,17124,1137,0,49,22,155
33730,5132,4490,411,27,0,84434,8003,5149,328,174,239,50,155
16346,951,6608,625,253,204,77842,2613,10341,745,9,213,18,155
29624,2623,6280,548,51,170,57944,4565,9690,408,83,171,58,155
9790,8920,0,57,349,192,33031,26278,147,0,197,153,18,155
28825,4708,6465,399,438,102,51214,8574,4035,280,321,159,53,155
41620,6277,15029,962,310,0,67341,9103,16599,926,100,128,58,155
27855,368,2281,75,220,214,69253,2387,3027,116,33,188,52,155
29591,4195,1633,232,279,308,101044,8542,3553,162,359,300,30,155
16178,14600,1036,77,642,0,37510,33762,2096,64,287,0,36,155
22635,1586,11220,482,729,159,68894,3060,11161,415,517,183,44,155
8652,5215,4086,308,358,122,25549,12599,5646,325,310,183,25,155
12624,6156,0,0,357,97,41555,14449,0,0,197,0,25,155
48104,2505,5643,18,783,528,80729,5687,9357,236,415,237,68,156
7819,2429,4173,470,208,82,47052,8129,8789,609,153,0,13,156
21606,3908,3218,158,534,246,56135,9014,3260,94,407,197,47,156
22189,4241,6697,392,817,0,62463,7847,8684,592,752,0,32,156
27055,3999,13883,855,267,0,48797,6640,10132,533,346,97,52,156
49444,4102,19724,1088,208,411,68363,3492,13416,561,322,258,105,156
34804,2463,598,155,247,122,59281,4710,2875,149,206,260,56,156
28648,3399,7865,476,571,0,60888,5228,6785,300,372,222,61,156
12195,2832,5157,365,150,180,44293,7625,8173,304,0,128,20,156
17057,3505,1947,373,810,228,63427,8826,3767,290,631,194,36,156
