 ,Area,Mean,StdDev,Min,Max
1,21.428,205.432,9.588,193,246
2,6.325,210.209,12.855,194,250
3,4.462,204.198,6.707,194,224
4,5.590,214.035,12.667,194,246
5,5.639,208.270,9.870,194,234
6,18.584,209.245,12.595,194,256
7,4.952,236.238,28.187,194,287
8,4.952,226.881,25.023,194,280
9,5.443,221.000,18.129,194,266
10,4.756,216.608,15.734,194,254
11,11.719,249.155,64.836,194,504
12,7.355,219.620,21.606,194,291
13,4.854,211.303,11.808,194,234
14,4.413,219.778,23.970,194,282
15,4.560,226.247,25.194,194,281
16,4.756,212.639,13.470,194,248
17,5.100,237.817,37.515,194,345
18,5.247,220.355,19.730,194,268
19,4.364,226.337,29.083,194,290
20,5.933,216.182,15.188,194,250
21,7.061,229.042,29.124,194,299
22,6.129,255.136,53.155,194,371
23,6.472,206.788,8.986,194,234
24,9.905,232.302,34.393,194,349
25,6.031,222.333,22.387,194,284
26,6.522,246.180,40.373,194,331
27,4.021,213.037,14.906,194,248
28,4.609,229.479,28.782,195,294
29,6.227,224.008,27.687,194,295
30,4.168,213.659,17.021,194,263
31,5.345,220.367,23.159,189,280
32,13.386,224.696,44.423,194,430
33,4.609,213.702,13.617,194,246
34,10.591,216.977,15.480,194,253
35,7.796,210.157,12.814,194,243
36,6.816,221.885,21.020,194,271
37,5.394,210.273,12.426,194,238
38,12.258,213.396,15.238,194,255
39,4.168,200.071,4.740,194,212
40,8.287,225.373,24.584,194,289
41,4.413,204.822,7.967,193,222
42,4.217,221.198,25.763,194,292
43,4.168,226.788,32.690,194,318
44,5.835,209.042,11.613,194,243
45,4.364,207.888,10.678,194,236
46,6.571,211.060,13.619,194,252
47,6.178,221.373,20.114,194,270
