 ,Area,Mean,StdDev,Min,Max
1,14.906,220.382,27.491,176,297
2,9.415,215.443,32.078,176,293
3,11.229,205.843,21.705,176,261
4,7.012,198.259,18.046,176,254
5,5.247,213.598,25.188,176,268
6,5.050,204.049,20.453,176,250
7,7.943,212.457,32.627,176,297
8,5.247,203.486,18.893,176,250
9,10.003,213.250,23.189,176,268
10,4.462,203.099,21.003,176,255
11,8.483,209.780,23.515,176,268
12,7.159,200.945,19.107,176,248
13,4.609,215.266,30.041,176,284
14,5.639,208.322,23.112,176,261
15,6.031,211.789,23.244,176,276
16,5.100,196.279,15.716,176,240
17,5.001,201.245,16.363,176,233
18,4.903,209.450,28.026,176,277
19,5.933,225.463,31.547,176,302
20,6.374,209.000,20.621,176,266
21,4.462,202.495,18.238,176,255
22,4.413,198.600,18.031,176,243
23,5.050,191.243,9.876,176,222
24,4.266,193.736,11.256,176,218
25,4.364,206.337,22.604,176,269
26,4.217,184.279,6.311,176,201
27,8.581,229.731,43.867,176,359
28,5.982,198.770,16.081,176,250
29,4.560,201.785,17.730,176,241
30,6.031,201.114,19.587,176,250
31,4.511,205.859,20.530,176,259
32,8.973,205.519,18.191,176,251
33,5.884,193.525,12.378,176,231
34,5.933,210.413,20.772,176,259
35,4.805,198.908,16.116,176,236
36,7.894,208.870,20.317,177,256
37,6.620,211.178,21.773,176,265
38,10.493,231.509,34.117,176,298
39,8.336,189.729,10.322,176,223
40,8.238,240.446,51.092,176,386
41,22.899,208.726,29.177,176,326
42,8.434,238.279,40.612,176,328
43,4.560,191.226,11.252,176,224
44,8.728,211.466,24.533,176,268
45,8.777,204.844,25.022,176,270
46,4.805,209.898,23.526,176,266
47,6.031,194.862,13.436,176,233
48,11.474,223.658,31.104,176,296
49,13.680,209.620,32.688,176,316
50,8.140,204.428,21.430,176,263
51,9.807,204.470,24.218,176,277
52,11.033,201.231,21.421,176,275
53,9.120,195.382,14.243,176,236
54,7.306,213.718,25.991,176,265
55,6.620,195.022,11.268,176,233
56,6.914,191.106,9.923,176,219
57,4.805,197.439,13.569,176,229
58,10.346,225.237,35.657,176,305
59,10.493,201.346,19.365,176,267
60,5.001,208.824,22.823,176,259
61,7.012,203.210,18.416,176,251
62,6.914,188.922,8.039,176,210
63,5.149,222.333,38.310,176,323
64,6.178,194.786,12.106,176,225
65,8.091,232.842,43.454,176,321
66,4.266,186.448,8.017,176,210
67,4.266,211.483,25.134,176,281
68,4.413,231.511,41.479,177,315
69,4.854,193.040,11.293,176,218
70,7.257,230.297,42.852,176,324
71,8.875,208.762,26.044,176,278
72,4.119,188.262,8.555,176,212
73,4.413,199.967,17.061,176,238
74,4.462,193.615,13.172,176,225
75,10.101,204.345,25.570,176,295
76,4.658,209.926,28.695,176,293
77,4.070,191.096,11.729,172,219
78,5.198,194.868,14.017,176,243
79,7.502,190.477,12.589,176,226
80,15.887,206.716,21.480,176,274
81,5.541,210.531,32.007,176,299
82,5.639,196.287,13.095,176,219
83,7.698,202.554,25.755,176,286
84,9.218,204.638,21.740,176,257
85,4.560,198.903,18.440,176,237
86,5.639,190.957,12.468,176,222
87,6.816,195.094,12.843,176,221
88,5.296,204.972,23.955,176,278
89,4.462,205.879,25.122,176,267
90,5.933,204.653,20.125,176,248
91,8.287,196.367,14.036,176,234
92,7.012,196.154,18.752,176,247
93,20.153,219.703,34.561,176,328
