 ,Area,Mean,StdDev,Min,Max
1,7.208,174.224,7.339,164,196
2,4.952,177.614,8.752,164,203
3,4.070,179.060,11.744,164,210
4,4.560,192.269,22.107,164,245
5,5.001,195.951,25.681,164,256
6,4.119,186.571,17.457,164,227
7,4.119,186.190,14.483,164,220
8,5.050,185.097,15.834,164,219
9,6.325,198.488,27.642,164,278
10,4.903,191.280,21.490,164,244
11,4.756,208.237,37.513,164,294
12,5.345,196.431,29.538,164,269
13,10.101,199.684,26.474,164,262
14,4.609,189.000,21.633,164,241
15,4.217,188.093,19.504,164,236
16,4.021,189.098,19.033,164,232
17,4.119,186.833,19.523,164,235
18,5.050,181.650,15.418,160,224
19,5.737,184.513,15.458,164,218
20,9.120,192.828,27.463,164,289
21,4.658,180.137,18.432,164,242
22,5.884,184.617,15.791,164,227
23,20.153,191.345,25.675,164,302
24,7.649,181.378,12.614,164,212
25,4.266,182.494,17.276,164,224
26,4.413,184.033,17.835,164,227
27,6.522,182.992,18.201,164,238
28,5.835,181.756,14.463,164,217
29,4.560,185.269,16.489,165,226
30,7.061,189.076,27.557,164,280
31,4.119,181.881,14.500,164,222
32,5.541,178.965,13.162,164,213
33,5.933,181.025,13.872,164,212
34,4.658,188.968,21.415,164,242
35,5.688,190.293,24.469,164,253
36,9.758,184.523,16.037,164,228
37,4.413,187.878,20.425,164,236
38,12.553,188.219,27.570,162,279
39,5.050,201.252,38.829,164,306
40,4.952,186.347,17.485,164,229
41,8.826,184.956,17.350,164,238
42,5.050,187.136,20.557,164,240
43,9.660,202.076,36.859,164,320
44,5.590,191.175,25.260,164,260
45,4.364,185.989,17.353,164,231
46,8.091,177.394,11.950,164,207
47,4.903,190.430,24.150,164,250
48,10.984,212.924,49.059,164,332
49,16.966,185.971,21.534,164,250
50,4.560,177.290,10.821,164,203
51,5.296,186.380,21.589,164,243
52,5.541,185.336,19.828,162,234
53,9.660,181.949,14.258,164,221
54,8.336,191.882,25.880,164,263
55,10.052,179.795,14.259,164,221
56,4.315,178.261,12.926,164,214
57,6.472,175.652,10.832,161,205
58,4.609,178.521,15.934,162,225
59,4.119,185.369,19.718,164,238
60,5.933,179.769,15.086,164,229
61,4.658,173.653,8.071,164,203
62,21.771,187.209,20.862,158,278
63,5.247,185.084,20.156,164,241
64,6.080,189.210,23.967,164,247
65,4.854,192.444,25.932,164,253
66,6.767,172.928,7.683,164,192
67,6.571,195.866,31.849,164,278
68,9.022,178.592,14.718,159,225
69,5.296,177.222,11.945,164,218
70,6.522,186.549,20.926,164,241
71,6.767,187.493,28.402,164,276
72,4.609,172.298,7.392,162,195
73,9.660,173.741,8.552,164,201
74,7.845,175.281,9.204,162,202
75,15.936,187.720,21.421,162,246
76,4.658,185.526,21.126,164,244
77,7.257,174.865,9.823,164,203
78,4.266,172.057,5.911,164,185
79,5.100,179.683,17.904,164,245
80,5.541,181.805,15.950,164,226
81,4.119,171.833,6.495,164,190
82,14.416,181.694,18.600,162,241
83,5.296,177.593,13.766,159,221
84,5.737,188.462,28.026,164,272
85,4.070,178.000,13.469,164,213
86,8.483,188.486,22.065,164,255
87,13.386,205.322,44.457,164,332
88,6.620,171.519,5.428,164,187
89,5.590,171.570,5.676,164,189
90,15.397,174.111,9.405,160,201
